RDD33694.1	contig22648	2.53e-175	538	449	17	451	55381	54095	68.820	451	83542
RDD33694.1	contig22648	2.95e-25	103	79	310	388	54518	54285	67.089	451	83542
RDD33694.1	contig82518	1.09e-120	382	209	1	209	22784	22158	94.737	451	55352
RDD33694.1	contig82518	1.62e-71	239	279	6	282	39580	38756	49.462	451	55352
RDD33694.1	contig82518	4.47e-70	235	166	286	451	14058	13567	76.506	451	55352
RDD33694.1	contig82518	7.16e-36	135	198	286	451	35915	35328	42.424	451	55352
RDD33694.1	contig100426	1.00e-78	260	205	17	221	2981	3580	70.244	451	33804
RDD33694.1	contig4865	1.02e-47	145	107	1	107	66367	66047	58.879	451	87418
RDD33694.1	contig4865	1.02e-47	57.4	62	136	197	66006	65824	48.387	451	87418
RDD33706.1	contig22648	2.53e-175	538	449	17	451	55381	54095	68.820	451	83542
RDD33706.1	contig22648	2.95e-25	103	79	310	388	54518	54285	67.089	451	83542
RDD33706.1	contig82518	1.09e-120	382	209	1	209	22784	22158	94.737	451	55352
RDD33706.1	contig82518	1.62e-71	239	279	6	282	39580	38756	49.462	451	55352
RDD33706.1	contig82518	4.47e-70	235	166	286	451	14058	13567	76.506	451	55352
RDD33706.1	contig82518	7.16e-36	135	198	286	451	35915	35328	42.424	451	55352
RDD33706.1	contig100426	1.00e-78	260	205	17	221	2981	3580	70.244	451	33804
RDD33706.1	contig4865	1.02e-47	145	107	1	107	66367	66047	58.879	451	87418
RDD33706.1	contig4865	1.02e-47	57.4	62	136	197	66006	65824	48.387	451	87418
RDD34437.1	contig22648	2.53e-175	538	449	17	451	55381	54095	68.820	451	83542
RDD34437.1	contig22648	2.95e-25	103	79	310	388	54518	54285	67.089	451	83542
RDD34437.1	contig82518	1.09e-120	382	209	1	209	22784	22158	94.737	451	55352
RDD34437.1	contig82518	1.62e-71	239	279	6	282	39580	38756	49.462	451	55352
RDD34437.1	contig82518	4.47e-70	235	166	286	451	14058	13567	76.506	451	55352
RDD34437.1	contig82518	7.16e-36	135	198	286	451	35915	35328	42.424	451	55352
RDD34437.1	contig100426	1.00e-78	260	205	17	221	2981	3580	70.244	451	33804
RDD34437.1	contig4865	1.02e-47	145	107	1	107	66367	66047	58.879	451	87418
RDD34437.1	contig4865	1.02e-47	57.4	62	136	197	66006	65824	48.387	451	87418
RDD34510.1	contig22648	2.53e-175	538	449	17	451	55381	54095	68.820	451	83542
RDD34510.1	contig22648	2.95e-25	103	79	310	388	54518	54285	67.089	451	83542
RDD34510.1	contig82518	1.09e-120	382	209	1	209	22784	22158	94.737	451	55352
RDD34510.1	contig82518	1.62e-71	239	279	6	282	39580	38756	49.462	451	55352
RDD34510.1	contig82518	4.47e-70	235	166	286	451	14058	13567	76.506	451	55352
RDD34510.1	contig82518	7.16e-36	135	198	286	451	35915	35328	42.424	451	55352
RDD34510.1	contig100426	1.00e-78	260	205	17	221	2981	3580	70.244	451	33804
RDD34510.1	contig4865	1.02e-47	145	107	1	107	66367	66047	58.879	451	87418
RDD34510.1	contig4865	1.02e-47	57.4	62	136	197	66006	65824	48.387	451	87418
RDD34742.1	contig22648	1.28e-97	316	450	17	452	55381	54131	44.889	467	83542
RDD34742.1	contig4865	7.82e-89	214	107	1	107	66367	66047	91.589	467	87418
RDD34742.1	contig4865	7.82e-89	125	75	122	196	66048	65824	78.667	467	87418
RDD34742.1	contig82518	1.13e-76	255	208	1	206	22784	22161	57.692	467	55352
RDD34742.1	contig82518	1.38e-75	252	271	14	284	39550	38762	47.232	467	55352
RDD34742.1	contig82518	1.42e-20	89.0	127	321	443	35831	35463	36.220	467	55352
RDD34742.1	contig82518	8.01e-15	70.9	138	316	452	13989	13603	35.507	467	55352
RDD34742.1	contig100426	1.51e-69	234	209	17	224	2981	3583	56.938	467	33804
RDD34842.1	contig22648	5.96e-121	383	474	7	464	55420	54095	47.468	464	83542
RDD34842.1	contig82518	2.25e-97	315	210	1	210	22784	22158	70.476	464	55352
RDD34842.1	contig82518	2.06e-79	263	271	7	275	39580	38786	51.292	464	55352
RDD34842.1	contig82518	2.23e-29	115	180	286	464	14058	13567	43.333	464	55352
RDD34842.1	contig82518	1.58e-24	101	197	286	460	35915	35340	38.071	464	55352
RDD34842.1	contig100426	1.33e-81	269	203	20	222	2987	3580	64.532	464	33804
RDD34842.1	contig4865	1.74e-55	149	108	1	108	66367	66047	61.111	464	87418
RDD34842.1	contig4865	1.74e-55	79.3	77	122	198	66051	65824	51.948	464	87418
